name;price;link;image_url
Kartoninė dėžė paletinė 1200x800x620mm vid. BC20R 5sl.;12.09 €;https://ailena.lt/lt/kartonine-deze-paletine-1200x800x620mm-vid-bc20r-5sl;https://ailena.lt/5715-home_default/kartonine-deze-paletine-1200x800x620mm-vid-bc20r-5sl.jpg
"Įdėklas nešiojamam kompiuteriui iki 17"" siųsti FT140";5.07 €;https://ailena.lt/lt/ideklas-410x275mm-nesiojamam-kompiuteriui-iki-17-siusti-ft140;https://ailena.lt/4068-home_default/ideklas-410x275mm-nesiojamam-kompiuteriui-iki-17-siusti-ft140.jpg
Dėžė automobilių bamperiams 2000x600x700;12.45 €;https://ailena.lt/lt/deze-automobiliu-bamperiams-2000x600x700;https://ailena.lt/5663-home_default/deze-automobiliu-bamperiams-2000x600x700.jpg
Dovanų dėžutė su langeliu, juoda 305x215x80 mm (A4);2.77 €;https://ailena.lt/lt/dovanu-dezute-su-langeliu-juoda-305x215x80-mm-a4;https://ailena.lt/5646-home_default/dovanu-dezute-su-langeliu-juoda-305x215x80-mm-a4.jpg
Kartoninė dėžė 200x200x200 mm (M dydis);0.79 €;https://ailena.lt/lt/kartonine-deze-200x200x200-mm-5sl-m-dydis;https://ailena.lt/5435-home_default/kartonine-deze-200x200x200-mm-5sl-m-dydis.jpg
Kartoninė dėžė puspaletei 800x600x600mm;9.18 €;https://ailena.lt/lt/kartonine-deze-puspaletei-800x600x600mm;https://ailena.lt/5716-home_default/kartonine-deze-puspaletei-800x600x600mm.jpg
Butelio apsauginė pakuotė iš gofruoto kartono 10cm x 35cm;1.11 €;https://ailena.lt/lt/butelio-apsaugine-pakuote-is-gofruoto-kartono;https://ailena.lt/4630-home_default/butelio-apsaugine-pakuote-is-gofruoto-kartono.jpg
"Įdėklas planšetiniam kompiuteriui iki 10"" siųsti FT140";4.83 €;https://ailena.lt/lt/ideklas-230x165mm-plansetiniam-kompiuteriui-iki-10-siusti-ft140;https://ailena.lt/4065-home_default/ideklas-230x165mm-plansetiniam-kompiuteriui-iki-10-siusti-ft140.jpg
Ilga dėžė siuntoms CP072, 430x108x108mm (M);1.50 €;https://ailena.lt/lt/ilga-deze-siuntoms-5-dydziu-pasirinkimas-cp072;https://ailena.lt/4043-home_default/ilga-deze-siuntoms-5-dydziu-pasirinkimas-cp072.jpg
Kartoninė dėžutė buteliams siųsti CP181, 375x365x250mm;3.44 €;https://ailena.lt/lt/kartonine-dezute-buteliams-siusti-cp181-375x365x250mm-l-dydis;https://ailena.lt/3707-home_default/kartonine-dezute-buteliams-siusti-cp181-375x365x250mm-l-dydis.jpg
Transportavimo tūtų dangteliai;0.27 €;https://ailena.lt/lt/transportavimo-tutu-dangteliai-4-dydziu-pasirinkimas;https://ailena.lt/2766-home_default/transportavimo-tutu-dangteliai-4-dydziu-pasirinkimas.jpg
Ilga trapecinė dėžė siuntoms;2.07 €;https://ailena.lt/lt/ilga-trapecine-3-dydziu-pasirinkimai-deze-siuntoms-i-cp070;https://ailena.lt/5614-home_default/ilga-trapecine-3-dydziu-pasirinkimai-deze-siuntoms-i-cp070.jpg
